CDL,lon,lat,scl,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,bbox,year,tile,scene_date
Background,-90.5993883000563,35.57656307308728,4,544,371,603,364,837,2803,3605,3332,3841,3473,1897,864,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59905490543753,35.5765478514209,4,480,307,508,324,881,2383,2942,2806,3300,4104,2019,973,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59872151095185,35.57653262881574,4,480,386,567,353,930,2566,3115,3548,3440,4104,2105,964,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59838811659927,35.5765174052717,4,496,376,668,384,937,2575,3167,3752,3294,4063,1920,908,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59805472237979,35.57650218078884,4,496,378,536,343,863,2204,2623,2652,3138,4063,1954,995,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59772132829342,35.57648695536718,4,507,360,610,500,1110,2489,3080,3124,3502,3965,2197,1121,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59738793434016,35.57647172900669,4,507,384,711,668,1245,2684,3118,2980,3533,3965,2301,1120,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59705454052005,35.57645650170736,4,492,417,592,462,1018,2454,2955,2666,3333,4204,2112,1123,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59672114683305,35.576441273469214,4,492,416,612,463,1063,2358,2838,2736,3329,4204,2159,1229,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.5963877532792,35.576426044292205,4,481,439,620,502,1080,2639,3213,3488,3644,4243,2315,1098,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59605435985851,35.576410814176384,4,481,434,688,536,986,2567,3160,3540,3616,4243,2279,1144,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59572096657098,35.57639558312174,4,511,474,706,594,1076,2923,3524,4092,4177,4354,2303,1230,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59538757341662,35.57638035112828,4,511,507,840,584,1262,2992,3707,4040,4040,4354,2541,1342,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59505418039542,35.576365118196,4,517,444,698,636,1059,2696,3288,3588,3610,4410,2319,1148,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59472078750741,35.576349884324856,4,517,502,735,553,1002,2844,3506,4232,3799,4410,2171,1071,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Woody Wetlands,-90.59438739475259,35.57633464951491,4,505,467,732,596,1167,3002,3665,4120,4111,4645,2418,1236,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59405400213099,35.57631941376614,4,505,680,929,937,1339,2785,3263,3256,3649,4645,2640,1395,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59372060964257,35.576304177078605,4,559,646,949,866,1274,2920,3460,3664,3826,4406,2529,1389,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59338721728739,35.5762889394522,4,559,706,972,778,1708,4287,4937,4480,5558,4406,2901,1453,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.59305382506543,35.57627370088696,4,686,780,1086,973,1797,4680,5593,5140,5980,4663,2886,1555,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Soybeans,-90.59272043297669,35.57625846138289,4,686,628,1016,731,1828,4592,5495,5348,5964,4663,2899,1527,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Cotton,-90.5923870410212,35.57624322094004,4,697,557,1010,769,1761,4831,5606,5460,6031,4912,2895,1436,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
